b'';b'rdf:type -> sto:ISA95Level';b'sto:hasClassification -> rami:Communication';b'rdf:type -> sto:ProductDevelopmentLifeCycle';b'sto:hasClassification -> sto:ModellingPractice';b'rdfs:domain -> sto:StandardOrganization';b'sto:relatedTo -> sto:IEC_62541';b'sto:hasClassification -> rami:Integration';b'sto:hasClassification -> rami:Safety';b'sto:hasClassification -> sto:ProductionSystemModelData';b'rdf:type -> rami:RAMIHierarchyLevel';b'rdf:type -> rami:RAMIITLayer';b'rdfs:range -> xsd:string';b'sto:hasClassification -> rami:Asset';b'rdfs:subClassOf -> sto:StandardClassification';b'sto:hasClassification -> rami:Enterprise';b'rdf:type -> rami:AdminShellSubmodel';b'sto:license -> Private';b'sto:hasClassification -> rami:WorkCenter';b'rdfs:domain -> sto:Standard';b'sto:hasClassification -> rami:Engineering';b'rdf:type -> owl:DatatypeProperty';b'sto:hasClassification -> rami:Station';b'rdf:type -> owl:ObjectProperty';b'sto:hasDomain -> sto:IndustrialAutomation';b'sto:hasClassification -> rami:Product';b'sto:hasClassification -> rami:FieldDevice';b'sto:hasClassification -> rami:ControlDevice';b'rdf:type -> owl:Class';b'rdf:type -> owl:AnnotationProperty';b'rdf:type -> sto:StandardOrganization';b'sto:publisher -> sto:ISO';b'sto:publisher -> sto:IEC';b'rdf:type -> sto:Standard';b'rdf:type -> owl:NamedIndividual'
b'sto:MTConnect';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
b'sto:Domain';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
b'sto:orgName';0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
b'sto:IEC_61512';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;1;1
b'sto:KATS';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
b'sto:hasStatus';0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
b'sto:';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
b'sto:ProductionSystemMaintenance';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
b'sto:IEC_62890';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1
b'sto:IBM';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
b'sto:IEC_62061';0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
b'sto:IEC_62424';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
b'sto:ISO_18629';0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;1;0;1;1
b'sto:BPMN';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
b'sto:formationDate';0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
b'sto:ProductionSystemModelData';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
b'sto:IEC_61508';0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
b'rami:InformationLayer';0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
b'sto:W3C_SPARQL';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
b'sto:IEC_61158';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
b'sto:ISO_22745-11';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1
b'sto:IEC_62541';0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;1;1;1
