b'';b'rdf:type -> dby:Group100031264';b'sto:hasClassification -> rami:FieldDevice';b'sto:hasClassification -> rami:Product';b'rdf:type -> dby:Communication100033020';b'rdf:type -> dby:YagoPermanentlyLocatedEntity';b'sto:hasClassification -> rami:ControlDevice';b'rdf:type -> dbo:Organisation';b'rdf:type -> owl:Thing';b'rdf:type -> owl:AnnotationProperty';b'rdf:type -> owl:Class';b'rdf:type -> sto:StandardOrganization';b'rdf:type -> dby:Standard107260623';b'rdf:type -> dby:SystemOfMeasurement113577171';b'rdf:type -> dby:Measure100033615';b'sto:publisher -> sto:ISO';b'sto:publisher -> sto:IEC';b'rdf:type -> dby:Abstraction100002137';b'rdf:type -> sto:Standard';b'rdf:type -> owl:NamedIndividual'
b'sto:ISO_PAS_17506';0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1
b'sto:ISO_10303';0;0;0;1;0;0;1;0;0;0;0;1;1;1;1;0;1;1;1
b'rami:RAMIITLayer';0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
b'sto:OMG';1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;1
b'sto:ANSI';1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;1
b'sto:ISO_20922';0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
b'sto:BPEL';0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;1;1;1
b'sto:SCADALevel';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
b'sto:IEC';1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;1
b'sto:M2M';1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
b'sto:W3C_OWL';0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;1;1;1
b'sto:ODVA';1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1
b'sto:IEC_61508';0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1
b'sto:CAD';0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
b'sto:ISA';1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1
b'sto:SCOR';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
b'rami:RAMILifeCycleLayer';0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
b'sto:OMG_DDS';0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1
b'sto:ISO_50001';0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1
b'sto:BBF';1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;1
