rdf:type -> dby:Relation100031921;rdf:type -> dbo:Language;rdf:type -> sto:ProductDevelopmentLifeCycle;dbo:wikiPageWikiLink -> dbr:Category:XML-based_standards;rdf:type -> dby:LanguageUnit106284225;sto:hasClassification -> rami:Communication;rdf:type -> dbo:Company;dbo:wikiPageWikiLink -> dbr:General_Motors;dbo:wikiPageWikiLink -> dbr:OASIS_(organization);dbo:wikiPageWikiLink -> dbr:Resource_Description_Framework;dbo:wikiPageWikiLink -> dbr:Communications_protocol;dbo:wikiPageWikiLink -> dbr:Microsoft;dbo:wikiPageWikiLink -> dbr:International_standard;rdf:type -> dby:Word106286395;dcterms:subject -> dbr:Category:XML-based_standards;rdf:type -> dby:WikicatWorldWideWebConsortiumStandards;sto:hasClassification -> sto:ModellingPractice;rdf:type -> dby:PhysicalEntity100001930;rdf:type -> dby:WikicatComputerFileFormats;rdfs:domain -> sto:StandardOrganization;rdf:type -> dby:PsychologicalFeature100023100;rdf:type -> dby:WikicatNetworkProtocols;rdf:type -> dby:Part113809207;rdf:type -> dby:Institution108053576;rdf:type -> sto:ISA95Level;rdf:type -> dby:Company108058098;dbo:wikiPageWikiLink -> dbr:Application_programming_interface;rdf:type -> dby:Object100002684;rdf:type -> dby:Whole100003553;dbo:wikiPageWikiLink -> dbr:Standardization;rdf:type -> dbo:Work;sto:hasClassification -> rami:Safety;dbo:wikiPageWikiLink -> dbr:Object_Management_Group;dbo:wikiPageWikiLink -> dbr:Information_technology;sto:hasClassification -> rami:Integration;lingg:hypernym -> dbr:Standard;lingg:hypernym -> dbr:Organization;dbo:wikiPageWikiLink -> dbr:Standards_organization;sto:relatedTo -> sto:IEC_62541;sto:hasClassification -> sto:ProductionSystemModelData;rdf:type -> dby:WikicatISOStandards;dbo:wikiPageWikiLink -> dbr:Category:ISO_standards;rdf:type -> dby:Rule106652242;rdf:type -> rami:RAMIITLayer;rdf:type -> dby:Direction106786629;rdf:type -> dby:Information106634376;dbo:wikiPageWikiLink -> dbr:Siemens;rdf:type -> dby:Format106636806;dbo:wikiPageWikiLink -> dbr:Unified_Modeling_Language;dbo:wikiPageWikiLink -> dbr:United_States;rdf:type -> dby:Protocol106665108;dcterms:subject -> dbr:Category:ISO_standards;rdf:type -> rami:RAMIHierarchyLevel;rdfs:subClassOf -> sto:StandardClassification;sto:hasClassification -> rami:Asset;rdf:type -> dby:WikicatXML-basedStandards;rdfs:range -> xsd:string;rdf:type -> dby:Association108049401;dbo:wikiPageWikiLink -> dbr:IBM;dbo:wikiPageWikiLink -> dbr:Category:IEC_standards;dcterms:subject -> dbr:Category:IEC_standards;rdf:type -> rami:AdminShellSubmodel;sto:hasClassification -> rami:Enterprise;rdf:type -> dby:WikicatIECStandards;rdf:type -> dbo:Software;dcterms:subject -> dbr:Category:Standards_organizations;dbo:wikiPageWikiLink -> dbr:Category:Standards_organizations;rdf:type -> dby:WikicatStandardsOrganizations;sto:license -> Private;sto:hasClassification -> rami:WorkCenter;rdfs:domain -> sto:Standard;sto:hasClassification -> rami:Engineering;rdf:type -> owl:DatatypeProperty;rdf:type -> dul:SocialPerson;rdf:type -> wkde:Q43229;rdf:type -> schema:Organization;rdf:type -> wkde:Q24229398;rdf:type -> dul:Agent;dbo:wikiPageWikiLink -> dbr:International_Electrotechnical_Commission;dbo:wikiPageWikiLink -> dbr:XML;rdf:type -> owl:ObjectProperty;rdf:type -> dby:Organization108008335;rdf:type -> dbo:Agent;sto:hasDomain -> sto:IndustrialAutomation;sto:hasClassification -> rami:Station;rdf:type -> dby:SocialGroup107950920;rdf:type -> dby:YagoLegalActor;dbo:wikiPageWikiLink -> dbr:International_Organization_for_Standardization;rdf:type -> dby:Message106598915;rdf:type -> dby:YagoLegalActorGeo;rdf:type -> dby:Group100031264;sto:hasClassification -> rami:FieldDevice;sto:hasClassification -> rami:Product;rdf:type -> dby:YagoPermanentlyLocatedEntity;rdf:type -> dby:Communication100033020;sto:hasClassification -> rami:ControlDevice;rdf:type -> dbo:Organisation;rdf:type -> owl:Thing;rdf:type -> owl:AnnotationProperty;rdf:type -> owl:Class;rdf:type -> sto:StandardOrganization;rdf:type -> dby:Standard107260623;rdf:type -> dby:SystemOfMeasurement113577171;rdf:type -> dby:Measure100033615;sto:publisher -> sto:ISO;sto:publisher -> sto:IEC;rdf:type -> dby:Abstraction100002137;rdf:type -> sto:Standard;rdf:type -> owl:NamedIndividual
rdf:type -> dby:LanguageUnit106284225;;;dcterms:subject -> dbr:Category:XML-based_standards;rdf:type -> dby:Relation100031921;;;;;;;;;rdf:type -> dby:Relation100031921;dbo:wikiPageWikiLink -> dbr:Category:XML-based_standards;;;rdf:type -> dby:Object100002684;;;;;rdf:type -> dby:Relation100031921;rdf:type -> dby:Company108058098;;rdf:type -> dby:Institution108053576;;rdf:type -> dby:PhysicalEntity100001930;rdf:type -> dby:PhysicalEntity100001930;;lingg:hypernym -> dbr:Standard;;;;;rdf:type -> dbo:Work;;;;;;rdf:type -> dby:WikicatISOStandards;rdf:type -> dby:WikicatNetworkProtocols;;rdf:type -> dby:WikicatNetworkProtocols;rdf:type -> dby:WikicatComputerFileFormats;;rdf:type -> dby:WikicatComputerFileFormats;;;rdf:type -> dby:WikicatNetworkProtocols;rdf:type -> dby:WikicatISOStandards;;;;rdf:type -> dby:Relation100031921;;;;dcterms:subject -> dbr:Category:IEC_standards;dbo:wikiPageWikiLink -> dbr:Category:IEC_standards;;;;;dbo:wikiPageWikiLink -> dbr:Category:Standards_organizations;dcterms:subject -> dbr:Category:Standards_organizations;;;;;;rdfs:range -> xsd:string;rdf:type -> dby:Institution108053576;rdf:type -> dby:Institution108053576;rdf:type -> dby:Institution108053576;rdf:type -> dby:Institution108053576;rdf:type -> dby:Institution108053576;;rdf:type -> dby:WikicatComputerFileFormats;;rdf:type -> dby:Institution108053576;rdf:type -> dby:Institution108053576;;sto:hasClassification -> rami:WorkCenter;rdf:type -> dby:Institution108053576;rdf:type -> dby:Institution108053576;;rdf:type -> dby:Relation100031921;rdf:type -> dby:Institution108053576;rdf:type -> dby:Institution108053576;;;rdf:type -> dby:Institution108053576;rdf:type -> dby:Relation100031921;sto:hasClassification -> rami:FieldDevice;rdf:type -> dby:Institution108053576;rdf:type -> dby:Institution108053576;;rdfs:subClassOf -> sto:StandardClassification;rdf:type -> dby:Institution108053576;rdf:type -> dby:Relation100031921;rdf:type -> dby:Relation100031921;rdf:type -> dby:Relation100031921;rdf:type -> dby:WikicatISOStandards;dbo:wikiPageWikiLink -> dbr:Category:IEC_standards;rdf:type -> dby:Relation100031921;rdf:type -> dby:Relation100031921;rdf:type -> dby:Relation100031921
rdf:type -> dby:Word106286395;;;;rdf:type -> dby:Word106286395;;;;;;;;;rdf:type -> dby:LanguageUnit106284225;;;;rdf:type -> dby:Whole100003553;;;;;rdf:type -> dby:LanguageUnit106284225;;;;;rdf:type -> dby:Whole100003553;rdf:type -> dby:Object100002684;;;;;;;;;;;;;dcterms:subject -> dbr:Category:ISO_standards;rdf:type -> dby:Direction106786629;;rdf:type -> dby:Rule106652242;rdf:type -> dby:Format106636806;;rdf:type -> dby:Information106634376;;;rdf:type -> dby:Rule106652242;dbo:wikiPageWikiLink -> dbr:Category:ISO_standards;;;;dbo:wikiPageWikiLink -> dbr:Category:XML-based_standards;;;;;;;;;;;;;;;;;;rdf:type -> dby:Company108058098;rdf:type -> dby:Company108058098;rdf:type -> dby:Company108058098;rdf:type -> dby:Company108058098;rdf:type -> dby:Company108058098;;;;rdf:type -> dby:Company108058098;rdf:type -> dby:Company108058098;;;rdf:type -> dby:Company108058098;rdf:type -> dby:Company108058098;;dbo:wikiPageWikiLink -> dbr:Category:XML-based_standards;rdf:type -> dby:Company108058098;rdf:type -> dby:Company108058098;;;rdf:type -> dby:Company108058098;dbo:wikiPageWikiLink -> dbr:Category:XML-based_standards;;rdf:type -> dby:Company108058098;rdf:type -> dby:Company108058098;;;rdf:type -> dby:Company108058098;dbo:wikiPageWikiLink -> dbr:Category:XML-based_standards;dbo:wikiPageWikiLink -> dbr:Category:XML-based_standards;dbo:wikiPageWikiLink -> dbr:Category:XML-based_standards;;dcterms:subject -> dbr:Category:IEC_standards;dbo:wikiPageWikiLink -> dbr:Category:XML-based_standards;rdf:type -> dbo:Language;rdf:type -> dbo:Language
rdf:type -> dby:Part113809207;;;;rdf:type -> dby:Part113809207;;;;;;;;;rdf:type -> dby:Part113809207;;;;;;;;;rdf:type -> dby:Word106286395;;;;;;;;;;;;;;;;;;;;rdf:type -> dby:Protocol106665108;;rdf:type -> dby:Protocol106665108;;;;;;rdf:type -> dby:Direction106786629;;;;;rdf:type -> dby:LanguageUnit106284225;;;;;;;;;;;;;;;;;;rdf:type -> wkde:Q43229;rdf:type -> dul:SocialPerson;rdf:type -> dul:SocialPerson;rdf:type -> dul:SocialPerson;rdf:type -> dul:SocialPerson;;;;rdf:type -> dby:Association108049401;rdf:type -> dul:SocialPerson;;;rdf:type -> dby:Association108049401;rdf:type -> dby:Association108049401;;rdf:type -> dby:LanguageUnit106284225;rdf:type -> dby:Association108049401;rdf:type -> dby:Association108049401;;;rdf:type -> dby:Association108049401;rdf:type -> dby:LanguageUnit106284225;;lingg:hypernym -> dbr:Organization;rdf:type -> dul:SocialPerson;;;dbo:wikiPageWikiLink -> dbr:Information_technology;rdf:type -> dby:LanguageUnit106284225;rdf:type -> dby:LanguageUnit106284225;rdf:type -> dby:LanguageUnit106284225;;rdf:type -> dby:WikicatIECStandards;rdf:type -> dby:LanguageUnit106284225;dbo:wikiPageWikiLink -> dbr:Category:XML-based_standards;rdf:type -> sto:ProductDevelopmentLifeCycle
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rdf:type -> dby:Word106286395;;;;;;;;;;;;;;;;;;rdf:type -> schema:Organization;rdf:type -> schema:Organization;rdf:type -> wkde:Q43229;rdf:type -> wkde:Q43229;rdf:type -> wkde:Q43229;;;;rdf:type -> dby:WikicatStandardsOrganizations;rdf:type -> wkde:Q43229;;;rdf:type -> dby:WikicatStandardsOrganizations;rdf:type -> dby:WikicatStandardsOrganizations;;dbo:wikiPageWikiLink -> dbr:OASIS_(organization);rdf:type -> dby:WikicatStandardsOrganizations;rdf:type -> dby:WikicatStandardsOrganizations;;;rdf:type -> dby:WikicatStandardsOrganizations;dbo:wikiPageWikiLink -> dbr:OASIS_(organization);;dbo:wikiPageWikiLink -> dbr:Standards_organization;rdf:type -> wkde:Q43229;;;lingg:hypernym -> dbr:Organization;dbo:wikiPageWikiLink -> dbr:International_standard;dbo:wikiPageWikiLink -> dbr:International_standard;dbo:wikiPageWikiLink -> dbr:International_standard;;;rdf:type -> dbo:Company;rdf:type -> dby:LanguageUnit106284225;dbo:wikiPageWikiLink -> dbr:Category:XML-based_standards
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dcterms:subject -> dbr:Category:XML-based_standards;;;;;;;;;;;;;;;;;;rdf:type -> wkde:Q24229398;rdf:type -> wkde:Q24229398;rdf:type -> wkde:Q24229398;rdf:type -> schema:Organization;rdf:type -> schema:Organization;;;;rdf:type -> dby:SocialGroup107950920;rdf:type -> schema:Organization;;;rdf:type -> dby:Organization108008335;rdf:type -> dby:Organization108008335;;rdf:type -> dby:Word106286395;rdf:type -> dby:Organization108008335;rdf:type -> dby:Organization108008335;;;rdf:type -> dby:Organization108008335;rdf:type -> dby:Word106286395;;rdf:type -> dby:Association108049401;rdf:type -> schema:Organization;;;dbo:wikiPageWikiLink -> dbr:Standards_organization;rdf:type -> dby:Word106286395;rdf:type -> dby:Word106286395;rdf:type -> dby:Word106286395;;;dbo:wikiPageWikiLink -> dbr:OASIS_(organization);sto:hasClassification -> rami:Communication;rdf:type -> dby:LanguageUnit106284225
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rdf:type -> dby:WikicatComputerFileFormats;;;;;;;;;;;;;;;;;;rdf:type -> dul:Agent;rdf:type -> dul:Agent;rdf:type -> dul:Agent;rdf:type -> dul:Agent;rdf:type -> wkde:Q24229398;;;;;rdf:type -> wkde:Q24229398;;;;rdf:type -> dby:SocialGroup107950920;;dcterms:subject -> dbr:Category:XML-based_standards;rdf:type -> dby:SocialGroup107950920;rdf:type -> dby:SocialGroup107950920;;;rdf:type -> dby:SocialGroup107950920;dcterms:subject -> dbr:Category:XML-based_standards;;dcterms:subject -> dbr:Category:Standards_organizations;rdf:type -> wkde:Q24229398;;;rdf:type -> dby:Association108049401;dcterms:subject -> dbr:Category:XML-based_standards;dcterms:subject -> dbr:Category:XML-based_standards;dcterms:subject -> dbr:Category:XML-based_standards;;;dbo:wikiPageWikiLink -> dbr:Resource_Description_Framework;rdf:type -> dby:Word106286395;sto:hasClassification -> rami:Communication
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rdf:type -> dby:Part113809207;;;;;;;;;;;;;;;;;;;;;;;;;;;rdf:type -> dul:Agent;;;;rdf:type -> dby:YagoLegalActorGeo;;rdf:type -> dby:WikicatComputerFileFormats;rdf:type -> dby:YagoLegalActor;;;;;rdf:type -> dby:WikicatWorldWideWebConsortiumStandards;;dbo:wikiPageWikiLink -> dbr:Category:Standards_organizations;rdf:type -> dul:Agent;;;dcterms:subject -> dbr:Category:Standards_organizations;rdf:type -> dby:WikicatWorldWideWebConsortiumStandards;rdf:type -> dby:WikicatWorldWideWebConsortiumStandards;rdf:type -> dby:WikicatWorldWideWebConsortiumStandards;;;dbo:wikiPageWikiLink -> dbr:Microsoft;dcterms:subject -> dbr:Category:XML-based_standards;rdf:type -> dbo:Company
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rdf:type -> dby:WikicatNetworkProtocols;;;;;;rdf:type -> dby:WikicatComputerFileFormats;;rdf:type -> dby:WikicatStandardsOrganizations;;;;dbo:wikiPageWikiLink -> dbr:Category:Standards_organizations;rdf:type -> dby:WikicatComputerFileFormats;rdf:type -> dby:WikicatComputerFileFormats;rdf:type -> dby:WikicatComputerFileFormats;;;dbo:wikiPageWikiLink -> dbr:International_standard;rdf:type -> dby:WikicatWorldWideWebConsortiumStandards;dbo:wikiPageWikiLink -> dbr:General_Motors
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rdf:type -> dby:Part113809207;;;;;;rdf:type -> dby:PsychologicalFeature100023100;;rdf:type -> dul:SocialPerson;;;;rdf:type -> dby:WikicatStandardsOrganizations;rdf:type -> dby:Part113809207;rdf:type -> dby:Part113809207;rdf:type -> dby:Part113809207;;;rdf:type -> dby:Word106286395;sto:hasClassification -> sto:ModellingPractice;dbo:wikiPageWikiLink -> dbr:OASIS_(organization)
